Aprikose	N	абрико́с m		f		<-, -n>
arbeiten	VB	рабо́тать imperf	intr		imperf	
arbeitslos	ADJ	безрабо́тный				
Arbeitslosigkeit	N	безрабо́тица f		f		<->
Ärger	N	гнев m, злость f		m		<-s>
ärgerlich	ADJ	серди́тый, неприя́тный				
arm	ADJ	бе́дный, бе́дный, несча́стный				
Arm	N	рука́ f		m		<-(e)s, -e>
Art	N	спо́соб m, мане́ра f		f		<-, -en>
Artikel	N	статья́ f, това́р m, арти́кул m		m		<-s, ->
Arzt	N	врач m и f		m		<-es, Ärzte>
Asyl	N	убе́жище nt		nt		<-s, -e>
atmen	VB	дыша́ть imperf	intr		imperf	
Atem	N	дыха́ние nt		m		<-s>
auch	ADV	та́кже, то́же, и				
auf	PREP	на, в, по			lok + dat	
Aufenthalt	N	пребыва́ние nt		m		<-(e)s, -e>
auffallen	VB	броса́ться, бро́ситься perf	intr		irreg	
auffallen	VB	броса́ться в глаза́, обраща́ть на себя внима́ние				
auffordern	VB	приглаша́ть	trans		perf	
Aufforderung	N	тре́бование nt		f		<-, -en>
aufführen	VB	пока́зывать	trans		perf	
Aufgabe	N	зада́ча f, прекраще́ние nt		f		<-, -n>
aufgeben	VB	отка́зываться	trans		irreg	
aufhalten	VB	держа́ть  imperf  откры́тым, приде́рживать	trans		irreg	
aufheben	VB	поднима́ть	trans		irreg	
aufheben	VB					
aufhören	VB	перестава́ть	intr		perf	
aufladen	VB	нагружа́ть	trans		irreg	
auflösen	VB	растворя́ть	trans		perf	
aufmerksam	ADJ	внима́тельный				
aufnehmen	VB	получа́ть	trans		irreg	
aufnehmen	VB					
aufnehmen	VB					
Aufnahme	N	получе́ние nt		f		<-, -n>
aufpassen	VB	присма́тривать	intr		perf	
aufräumen	VB	убира́ть, убра́ть perf	trans		perf	
aufregen	VB	волнова́ться, взволнова́ться perf	refl		perf	
aufstehen	VB	поднима́ться	intr		irreg	
Auftrag	N	поруче́ние nt		m		<-(e)s, Aufträge>
auftreten	VB	ступа́ть	intr		irreg	
Auftritt	N	выступле́ние nt, сце́на f, явле́ние nt		m		<-(e)s, -e>
aufwachen	VB	просыпа́ться	intr		perf	
aufwärts	ADV	вверх, наве́рх				
Aufzug	N	лифт m, наря́д m		m		<-(e)s, Aufzüge>
Auge	N	глаз m		nt		<-s, -n>
Augenblick	N	миг m, мгнове́ние nt		m		<-(e)s, -e>
aus	PREP	из, по			+ dat	
Ausbildung	N	обуче́ние nt, подгото́вка f		f		<-, -en>
ausdrucken	VB	распеча́тывать	trans		perf	
Ausdruck	N	выраже́ние nt, проявле́ние nt		m		<-(e)s, Ausdrücke>
Ausdruck	N	распеча́тка f		m		<-(e)s, -e>
auseinander	ADV	врозь, отде́льно друг от дру́га				
Ausfahrt	N	воро́та pl, вы́езд m		f		<-, -en>
ausfallen	VB	выпада́ть, вы́пасть perf	intr		irreg	
Ausflug	N	экску́рсия f, прогу́лка f		m		<-(e)s, Ausflüge>
ausfüllen	VB	заполня́ть, засыпа́ть	trans		perf	
Ausgabe	N	вы́дача f, расхо́д m, затра́та f		f		<-, ->
Ausgang	N	вы́ход m, коне́ц m		m		<-(e)s, Ausgänge>
ausgeben	VB	расхо́довать, из- perf	trans		irreg	
ausgehen	VB	выходи́ть, вы́йти perf	intr		irreg	
ausgezeichnet	ADJ	отли́чный				
Aushilfe	N	по́мощь  f  на вре́мя, вре́менный помо́щник m		f		<-, -n>
Auskunft	N	спра́вка f, спра́вочное бюро́ nt		f		<-, Auskünfte>
Ausland	N	зарубе́жные стра́ны f pl, заграни́ца f		nt		<-(e)s>
ausmachen	VB	выключа́ть, вы́ключить perf	trans		perf	
Ausnahme	N	исключе́ние nt		f		<-, -n>
ausreichen	VB	хвата́ть	intr		perf	
ausreichend	ADJ	доста́точный				
ausrichten	VB	достига́ть, добива́ться	trans		perf	
ausschließen	VB	исключа́ть	trans		irreg	
ausschließlich	ADJ	исключи́тельный, еди́нственный				
aussehen	VB	вы́глядеть imperf	intr		irreg	
außen	ADV	снару́жи				
außerhalb	PREP	за			+gen	
äußerlich	ADJ	вне́шний, нару́жный				
außer	PREP	вне, за			+ dat	
außerdem	ADV	кро́ме того́				
Aussicht	N	вид m		f		<-, -en>
aussprechen	VB	произноси́ть	trans		irreg	
Aussprache	N	произноше́ние nt		f		<-, -n>
ausstellen	VB	выставля́ть, вы́ставить perf	trans		perf	
Ausstellung	N	вы́ставка f, выставле́ние nt, вы́дача f		f		<-, -en>
auswählen	VB	выбира́ть, вы́брать perf, подбира́ть	trans		perf	
Auswahl	N	вы́бор m, сбо́рная f		f		<->
Ausweis	N	удостовере́ние  nt  ли́чности		m		<-es, -e>
ausziehen	VB	раздвига́ть	trans		irreg	
Auto	N	автомоби́ль m, маши́на f		nt		<-s, -s>
Autobahn	N	автостра́да f		f		<-, -en>
Automat	N	автома́т m		m		<-en, -en>
automatisch	ADJ	автомати́ческий				
backen	VB		trans		bäckt  &lt; [oder backt], backte  [oder     alt buk], gebacken&gt;	< [oder backt], backte  [oder    alt buk], gebacken
